x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-8.85827,-4.03937,-0.00872204,0.00308145,-0.0165014,0.00271097,0.0232246,0.00104154,-0.016548,0.00189504,0.0153521
-8.85827,-3.89764,-0.00921739,0.00318505,-0.0163226,0.00278219,0.0235217,0.00103315,-0.0163704,0.00188791,0.0160242
-8.85827,-3.75591,-0.00971641,0.00328956,-0.0161151,0.00285345,0.0238156,0.00102276,-0.0161642,0.00187692,0.0167005
-8.85827,-3.61417,-0.0102179,0.00339471,-0.015878,0.00292457,0.0241057,0.00101032,-0.0159285,0.00186188,0.0173793
-8.85827,-3.47244,-0.0107205,0.00350025,-0.0156106,0.0029954,0.0243914,0.000995765,-0.0156625,0.00184262,0.0180587
-8.85827,-3.33071,-0.0112227,0.00360588,-0.0153121,0.00306573,0.0246723,0.000979033,-0.0153654,0.00181898,0.018737
-8.85827,-3.18898,-0.0117233,0.00371128,-0.014982,0.0031354,0.0249476,0.00096008,-0.0150367,0.00179081,0.019412
-8.85827,-3.04724,-0.0122205,0.00381612,-0.0146198,0.00320418,0.0252168,0.000938868,-0.014676,0.00175799,0.0200818
-8.85827,-2.90551,-0.0127127,0.00392006,-0.0142251,0.00327189,0.0254793,0.000915366,-0.0142827,0.0017204,0.0207441
-8.85827,-2.76378,-0.0131982,0.00402273,-0.0137977,0.00333831,0.0257346,0.000889557,-0.0138568,0.00167796,0.0213967
-8.85827,-2.62205,-0.0136753,0.00412376,-0.0133376,0.00340323,0.0259819,0.000861432,-0.0133982,0.00163061,0.0220371
-8.85827,-2.48031,-0.0141422,0.00422274,-0.0128449,0.00346644,0.0262207,0.000830998,-0.012907,0.00157831,0.0226631
-8.85827,-2.33858,-0.0145971,0.00431928,-0.0123198,0.0035277,0.0264503,0.000798269,-0.0123834,0.00152105,0.0232722
-8.85827,-2.19685,-0.0150381,0.00441297,-0.0117628,0.00358682,0.0266702,0.000763277,-0.011828,0.00145887,0.0238619
-8.85827,-2.05512,-0.0154633,0.0045034,-0.0111745,0.00364355,0.0268797,0.000726065,-0.0112412,0.00139182,0.0244298
-8.85827,-1.91339,-0.0158709,0.00459015,-0.0105558,0.0036977,0.0270783,0.000686691,-0.010624,0.00131999,0.0249733
-8.85827,-1.77165,-0.0162591,0.00467282,-0.00990766,0.00374906,0.0272655,0.000645226,-0.00997741,0.0012435,0.0254901
-8.85827,-1.62992,-0.0166261,0.004751,-0.00923126,0.0037974,0.0274405,0.000601755,-0.00930253,0.00116253,0.0259778
-8.85827,-1.48819,-0.0169702,0.0048243,-0.00852803,0.00384254,0.027603,0.000556378,-0.0086008,0.00107726,0.026434
-8.85827,-1.34646,-0.0172896,0.00489235,-0.00779955,0.0038843,0.0277525,0.000509207,-0.0078738,0.000987935,0.0268566
-8.85827,-1.20472,-0.0175828,0.00495478,-0.00704757,0.00392248,0.0278884,0.000460369,-0.00712327,0.000894811,0.0272435
-8.85827,-1.06299,-0.0178483,0.00501125,-0.00627403,0.00395693,0.0280104,0.00041,-0.00635115,0.000798191,0.0275927
-8.85827,-0.92126,-0.0180848,0.00506147,-0.00548103,0.00398749,0.028118,0.000358252,-0.00555953,0.000698406,0.0279024
-8.85827,-0.779528,-0.0182911,0.00510514,-0.00467081,0.00401404,0.0282109,0.000305284,-0.00475065,0.000595813,0.0281711
-8.85827,-0.637795,-0.0184659,0.00514202,-0.00384576,0.00403644,0.0282889,0.000251267,-0.00392687,0.000490797,0.0283972
-8.85827,-0.496063,-0.0186085,0.0051719,-0.00300837,0.00405459,0.0283515,0.000196379,-0.00309071,0.000383766,0.0285796
-8.85827,-0.354331,-0.018718,0.00519461,-0.00216124,0.00406842,0.0283988,0.000140805,-0.00224473,0.000275147,0.0287173
-8.85827,-0.212598,-0.0187939,0.00521,-0.00130705,0.00407785,0.0284304,8.47362e-05,-0.00139162,0.000165381,0.0288095
-8.85827,-0.0708661,-0.0188357,0.005218,-0.000448524,0.00408285,0.0284462,2.83682e-05,-0.000534092,5.49209e-05,0.0288557
-8.85827,0.0708661,-0.0188433,0.00521855,0.00041156,0.00408339,0.0284463,-2.81018e-05,0.00032508,-5.57725e-05,0.0288558
-8.85827,0.212598,-0.0188165,0.00521165,0.00127042,0.00407947,0.0284306,-8.44753e-05,0.00118312,-0.000166238,0.0288096
-8.85827,0.354331,-0.0187555,0.00519734,0.00212529,0.0040711,0.0283991,-0.000140555,0.00203727,-0.000276015,0.0287174
-8.85827,0.496063,-0.0186608,0.00517571,0.00297343,0.00405832,0.0283521,-0.000196145,0.00288479,-0.00038465,0.0285798
-8.85827,0.637795,-0.0185328,0.00514688,0.00381215,0.0040412,0.0282896,-0.000251055,0.003723,-0.000491702,0.0283974
-8.85827,0.779528,-0.0183722,0.00511103,0.00463885,0.00401981,0.0282118,-0.000305098,0.0045493,-0.000596743,0.0281714
