x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-8.42857,3,1.17773,-0.022316,-0.0603782,-0.0221035,1.01364,0.00797958,-0.0603355,0.00833528,1.03284
-8.42857,3.28571,1.17249,-0.0214086,-0.0640996,-0.0212257,1.01325,0.00838736,-0.0640564,0.00875228,1.0362
-8.42857,3.57143,1.16707,-0.0204818,-0.0673946,-0.0203276,1.01285,0.00872543,-0.0673513,0.00909538,1.03962
-8.42857,3.85714,1.16151,-0.0195456,-0.070269,-0.019419,1.01244,0.00899627,-0.0702262,0.00936743,1.04306
-8.42857,4.14286,1.15587,-0.018609,-0.0727338,-0.0185083,1.01203,0.00920327,-0.0726919,0.00957223,1.04649
-8.42857,4.42857,1.15019,-0.01768,-0.0748048,-0.0176034,1.01162,0.00935047,-0.0747641,0.0097143,1.04986
-8.42857,4.71429,1.14451,-0.0167655,-0.0765008,-0.016711,1.01122,0.00944242,-0.0764616,0.0097986,1.05316
-8.42857,5,1.13887,-0.0158711,-0.0778435,-0.0158367,1.01081,0.00948395,-0.077806,0.00983043,1.05635
-8.42857,5.28571,1.13329,-0.0150017,-0.0788564,-0.0149853,1.01042,0.00948006,-0.0788208,0.00981518,1.05942
-8.42857,5.57143,1.1278,-0.0141609,-0.0795642,-0.0141605,1.01003,0.00943573,-0.0795306,0.00975824,1.06235
-8.42857,5.85714,1.12243,-0.0133518,-0.0799921,-0.0133653,1.00965,0.00935587,-0.0799605,0.00966484,1.06513
-8.42857,6.14286,1.11719,-0.0125763,-0.0801653,-0.0126019,1.00928,0.00924519,-0.0801357,0.00954,1.06775
-8.42857,6.42857,1.1121,-0.0118358,-0.0801086,-0.0118717,1.00892,0.00910815,-0.080081,0.00938846,1.0702
-8.42857,6.71429,1.10717,-0.011131,-0.0798459,-0.0111756,1.00858,0.00894891,-0.0798203,0.00921459,1.07249
-8.42857,7,1.10241,-0.0104621,-0.0794003,-0.0105138,1.00825,0.00877129,-0.0793765,0.00902242,1.0746
-8.42857,7.28571,1.09782,-0.00982922,-0.0787934,-0.00988678,1.00792,0.00857884,-0.0787716,0.00881562,1.07655
-8.42857,7.57143,1.0934,-0.00922971,-0.0780451,-0.00929191,1.00762,0.00837448,-0.0780247,0.00859731,1.07832
-8.42857,7.85714,1.08917,-0.00866807,-0.0771767,-0.00873379,1.00732,0.00816205,-0.0771607,0.0083713,1.07994
-8.42857,8.14286,1.08501,-0.00812148,-0.0761685,-0.00819006,1.00706,0.00793596,-0.0761435,0.0081325,1.08133
-8.42857,8.42857,1.08182,-0.00772451,-0.0748746,-0.00779327,1.00667,0.00768263,-0.0748467,0.00786364,1.08301
-8.42857,8.71429,1.07901,-0.00736554,-0.0766445,-0.00743382,1.00628,0.00784765,-0.0766216,0.00801391,1.08384
-8.42857,9,1.07849,-0.0074358,-0.0777917,-0.00748772,1.00496,0.00789548,-0.0777681,0.00802177,1.08409
-8.14286,-9,1.07661,-0.00741569,0.0790664,-0.00747677,1.0052,-0.00813331,0.0790521,-0.00827056,1.0878
-8.14286,-8.71429,1.07689,-0.00733659,0.0779266,-0.00741733,1.00664,-0.00805798,0.0779061,-0.00823978,1.08718
-8.14286,-8.42857,1.07999,-0.00772626,0.0761553,-0.00780762,1.00701,-0.00788082,0.0761351,-0.00807772,1.08634
-8.14286,-8.14286,1.08326,-0.00814294,0.0775969,-0.00822461,1.00742,-0.00815487,0.0775748,-0.00836888,1.08466
-8.14286,-7.85714,1.08754,-0.00871247,0.0787686,-0.00879163,1.0077,-0.00840206,0.0787441,-0.0086305,1.08336
