x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
-5.80952,-1.80952,-0.00980326,-0.0065814,0.0202045,-0.00674287,-0.0547188,-0.00402092,0.0202306,-0.00376978,-0.0450654,0.00978214,0.00865708,-0.00285902,0.00865226,0.00595013,0.0014504,-0.00281066,0.00144607,0.00391094,-0.0313208,0.00211631,0.00890089,0.00200112,-0.0160041,0.000160288,0.00889298,7.22234e-05,-0.0121971
-5.80952,-1.61905,-0.0104137,-0.00677073,0.0187877,-0.0069546,-0.0560188,-0.00375059,0.0188127,-0.00351204,-0.0482447,0.0100751,0.00887378,-0.00271093,0.00886848,0.0061427,0.00135575,-0.00266533,0.00135167,0.00442768,-0.0290902,0.00201282,0.00900247,0.00190033,-0.0146927,0.000164237,0.00899157,5.79909e-05,-0.0114514
-5.80952,-1.42857,-0.010996,-0.00694425,0.0171629,-0.00715004,-0.0572211,-0.00343614,0.0171864,-0.00321394,-0.0512554,0.0103468,0.00907558,-0.00252022,0.0090698,0.00632216,0.00124463,-0.00247803,0.00124085,0.00492653,-0.0265528,0.00187683,0.009101,0.00176945,-0.0132698,0.000166551,0.00908699,4.21607e-05,-0.0105502
-5.80952,-1.2381,-0.011539,-0.00710013,0.0153389,-0.00732681,-0.0583112,-0.00307904,0.0153605,-0.00287695,-0.0540429,0.0105938,0.0092597,-0.00228744,0.00925347,0.00648599,0.00111743,-0.00224931,0.00111401,0.00539627,-0.0237184,0.00170834,0.00919463,0.00160856,-0.0117415,0.00016746,0.00917755,2.54775e-05,-0.00949866
-5.80952,-1.04762,-0.0120314,-0.00723675,0.0133294,-0.00748272,-0.0592753,-0.00268191,0.0133485,-0.00250357,-0.0565532,0.0108127,0.00942346,-0.00201447,0.00941681,0.00663173,0.000975015,-0.001981,0.000972013,0.00582555,-0.0206049,0.00150841,0.00928122,0.00141874,-0.0101159,0.000167268,0.00926117,8.79391e-06,-0.00830622
-5.80952,-0.857143,-0.0124621,-0.00735269,0.0111528,-0.0076158,-0.0601005,-0.00224847,0.0111691,-0.0020973,-0.0587353,0.0110004,0.00956433,-0.0017045,0.00955731,0.00675713,0.0008187,-0.00167626,0.000816166,0.00620336,-0.017238,0.00127926,0.00935838,0.00120207,-0.00840358,0.000166324,0.00933562,-6.98008e-06,-0.00698616
-5.80952,-0.666667,-0.0128209,-0.00744681,0.00883237,-0.00772437,-0.0607756,-0.00178358,0.00884549,-0.00166258,-0.0605428,0.0111541,0.00968003,-0.00136208,0.0096727,0.00686013,0.000650263,-0.00133956,0.000648242,0.00651948,-0.013651,0.00102425,0.00942373,0.000961706,-0.00661705,0.000164996,0.00939863,-2.09385e-05,-0.00555562
-5.80952,-0.47619,-0.0130987,-0.00751818,0.0063953,-0.00780704,-0.0612908,-0.00129307,0.00640491,-0.00120474,-0.0619358,0.0112716,0.00976863,-0.000992966,0.00976104,0.006939,0.000471901,-0.000976578,0.000470429,0.00676505,-0.00988461,0.000747805,0.00947503,0.000701733,-0.00477065,0.000163635,0.00944805,-3.22464e-05,-0.00403518
-5.80952,-0.285714,-0.0132881,-0.00756613,0.00387231,-0.00786275,-0.0616386,-0.000783605,0.00387817,-0.000729834,-0.0628828,0.011351,0.00982858,-0.00060397,0.00982082,0.00699237,0.000286169,-0.000594013,0.000285275,0.00693293,-0.00598529,0.000455317,0.00951038,0.000427098,-0.00288031,0.000162543,0.00948209,-4.02067e-05,-0.00244832
-5.80952,-0.0952381,-0.0133842,-0.00759021,0.00129668,-0.00789078,-0.0618138,-0.000262509,0.00129865,-0.000244455,-0.0633619,0.011391,0.00985882,-0.000202706,0.00985098,0.00701929,9.59005e-05,-0.000199365,9.56005e-05,0.00701814,-0.00200428,0.000152894,0.00952841,0.00014339,-0.000963115,0.000161938,0.00949946,-4.4318e-05,-0.000820686
