x,z,rho,p,vx,vy,vz
-1.6,-1.5,0.00133925,0.000402671,-0.130565,-1.73362,-0.0892299
-1.6,-1.4,0.00169543,0.000510066,-0.128994,-1.76607,-0.0829058
-1.6,-1.3,0.00212696,0.00064035,-0.127271,-1.79908,-0.0765608
-1.6,-1.2,0.00264423,0.000796766,-0.125386,-1.8326,-0.070206
-1.6,-1.1,0.00325762,0.000982593,-0.123329,-1.86659,-0.0638562
-1.6,-1,0.00397707,0.00120103,-0.12109,-1.90096,-0.057529
-1.6,-0.9,0.00481156,0.00145504,-0.11866,-1.93564,-0.0512465
-1.6,-0.8,0.00576858,0.00174721,-0.11603,-1.97054,-0.045035
-1.6,-0.7,0.00685352,0.00207954,-0.113192,-2.00555,-0.0389258
-1.6,-0.6,0.00806898,0.00245325,-0.11014,-2.04054,-0.0329559
-1.6,-0.5,0.00941423,0.00286858,-0.106871,-2.07538,-0.027168
-1.6,-0.4,0.0108846,0.00332461,-0.103387,-2.10989,-0.021611
-1.6,-0.3,0.0124709,0.00381905,-0.0996934,-2.14392,-0.0163396
-1.6,-0.2,0.0141595,0.0043481,-0.0958041,-2.17726,-0.0114135
-1.6,-0.1,0.0159315,0.00490636,-0.0917409,-2.2097,-0.0068965
-1.6,1.11022e-16,0.0177635,0.00548681,-0.0875361,-2.24102,-0.00285395
-1.6,0.1,0.0196272,0.00608077,-0.0832338,-2.27098,0.000649718
-1.6,0.2,0.0214907,0.00667813,-0.0788909,-2.29933,0.00355488
-1.6,0.3,0.0233186,0.00726746,-0.0745775,-2.32582,0.00581119
-1.6,0.4,0.0250736,0.00783641,-0.0703762,-2.35019,0.00738256
-1.6,0.5,0.0267172,0.00837205,-0.0663803,-2.37218,0.00825227
-1.6,0.6,0.0282115,0.00886138,-0.0626906,-2.39156,0.0084277
-1.6,0.7,0.0295203,0.00929183,-0.0594106,-2.40809,0.00794396
-1.6,0.8,0.030611,0.00965183,-0.0566409,-2.42159,0.00686589
-1.6,0.9,0.0314554,0.00993135,-0.0544728,-2.43187,0.00528781
-1.6,1,0.0320313,0.0101224,-0.052982,-2.4388,0.00333075
-1.6,1.1,0.0323231,0.0102193,-0.0522225,-2.44228,0.00113707
-1.6,1.2,0.0323231,0.0102193,-0.0522225,-2.44228,-0.00113707
-1.6,1.3,0.0320313,0.0101224,-0.052982,-2.4388,-0.00333075
-1.6,1.4,0.0314554,0.00993135,-0.0544728,-2.43187,-0.00528781
-1.6,1.5,0.030611,0.00965183,-0.0566409,-2.42159,-0.00686589
-1.6,1.6,0.0295203,0.00929183,-0.0594106,-2.40809,-0.00794396
-1.6,1.7,0.0282115,0.00886138,-0.0626906,-2.39156,-0.0084277
-1.6,1.8,0.0267172,0.00837205,-0.0663803,-2.37218,-0.00825227
-1.6,1.9,0.0250736,0.00783641,-0.0703762,-2.35019,-0.00738256
-1.6,2,0.0233186,0.00726746,-0.0745775,-2.32582,-0.00581119
-1.6,2.1,0.0214907,0.00667813,-0.0788909,-2.29933,-0.00355488
-1.6,2.2,0.0196272,0.00608077,-0.0832338,-2.27098,-0.000649718
-1.6,2.3,0.0177635,0.00548681,-0.0875361,-2.24102,0.00285395
-1.6,2.4,0.0159315,0.00490636,-0.0917409,-2.2097,0.0068965
-1.6,2.5,0.0141595,0.0043481,-0.0958041,-2.17726,0.0114135
-1.6,2.6,0.0124709,0.00381905,-0.0996934,-2.14392,0.0163396
-1.6,2.7,0.0108846,0.00332461,-0.103387,-2.10989,0.021611
-1.6,2.8,0.00941423,0.00286858,-0.106871,-2.07538,0.027168
-1.6,2.9,0.00806898,0.00245325,-0.11014,-2.04054,0.0329559
-1.6,3,0.00685352,0.00207954,-0.113192,-2.00555,0.0389258
-1.6,3.1,0.00576858,0.00174721,-0.11603,-1.97054,0.045035
-1.6,3.2,0.00481156,0.00145504,-0.11866,-1.93564,0.0512465
-1.6,3.3,0.00397707,0.00120103,-0.12109,-1.90096,0.057529
-1.6,3.4,0.00325762,0.000982593,-0.123329,-1.86659,0.0638562
-1.6,3.5,0.00264423,0.000796766,-0.125386,-1.8326,0.070206
-1.6,3.6,0.00212696,0.00064035,-0.127271,-1.79908,0.0765608
-1.6,3.7,0.00169543,0.000510066,-0.128994,-1.76607,0.0829058
-1.6,3.8,0.00133925,0.000402671,-0.130565,-1.73362,0.0892299
-1.6,3.9,0.00104834,0.000315052,-0.131994,-1.70177,0.0955216
-1.6,4,0.000813217,0.000244296,-0.133291,-1.67054,0.101776
-1.6,4.1,0.00062513,0.000187734,-0.134459,-1.63997,0.107929
-1.6,4.2,0.000476206,0.000142975,-0.135566,-1.61005,0.0528596
-1.6,4.3,0.000476206,0.000142975,-0.0825319,-1.60852,0.0264654
-1.5,-2,0.000608349,0.00018269,-0.0811442,-1.57542,-0.0264998
-1.5,-1.9,0.000608349,0.00018269,-0.132312,-1.5769,-0.0529311
-1.5,-1.8,0.000798598,0.000239898,-0.131266,-1.60719,-0.107987
-1.5,-1.7,0.00103888,0.000312203,-0.130174,-1.63821,-0.101768
-1.5,-1.6,0.00133925,0.000402671,-0.128956,-1.66996,-0.0954358
