x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
190.984,-215.365,1.21719,-0.0531734,-0.261663,-0.0531727,1.01234,0.0638711,-0.261663,0.0638719,1.31366
190.984,-207.238,1.22997,-0.057603,-0.267324,-0.0576022,1.01372,0.0667646,-0.267324,0.0667655,1.30917
190.984,-199.111,1.24351,-0.0624066,-0.272733,-0.0624057,1.01525,0.069696,-0.272733,0.0696971,1.30389
190.984,-190.984,1.25783,-0.0676087,-0.277812,-0.0676076,1.01695,0.0726416,-0.277812,0.0726428,1.29776
190.984,-182.857,1.27297,-0.0732327,-0.282473,-0.0732314,1.01883,0.0755719,-0.282473,0.0755733,1.29073
190.984,-174.73,1.28892,-0.0793006,-0.286616,-0.0792991,1.02092,0.0784511,-0.286616,0.0784527,1.28275
190.984,-166.603,1.30571,-0.0858317,-0.290126,-0.0858298,1.02321,0.0812359,-0.290126,0.0812377,1.27376
190.984,-158.476,1.32332,-0.0928412,-0.292878,-0.092839,1.02573,0.0838751,-0.292878,0.0838772,1.26373
190.984,-150.349,1.34173,-0.100339,-0.294733,-0.100336,1.02848,0.0863091,-0.294733,0.0863114,1.25262
190.984,-142.222,1.36093,-0.108328,-0.295537,-0.108324,1.03149,0.0884689,-0.295537,0.0884715,1.24042
190.984,-134.095,1.38084,-0.1168,-0.295127,-0.116796,1.03475,0.0902763,-0.295127,0.0902792,1.22713
190.984,-125.968,1.40141,-0.125738,-0.293327,-0.125734,1.03826,0.0916444,-0.293326,0.0916476,1.21277
190.984,-117.841,1.42253,-0.135108,-0.289955,-0.135103,1.04203,0.0924777,-0.289954,0.0924812,1.1974
190.984,-109.714,1.44408,-0.144862,-0.284824,-0.144856,1.04602,0.0926744,-0.284824,0.0926783,1.18111
190.984,-101.587,1.46589,-0.154929,-0.277752,-0.154922,1.05023,0.0921286,-0.277752,0.0921328,1.16401
190.984,-93.4603,1.48778,-0.165218,-0.268562,-0.16521,1.05462,0.0907337,-0.268561,0.0907382,1.14629
190.984,-85.3333,1.50952,-0.175617,-0.257095,-0.175607,1.05912,0.0883872,-0.257095,0.088392,1.12815
190.984,-77.2063,1.53085,-0.185985,-0.243222,-0.185974,1.0637,0.0849968,-0.243221,0.0850017,1.10987
190.984,-69.0794,1.55146,-0.196161,-0.226849,-0.196148,1.06825,0.0804868,-0.226849,0.0804919,1.09175
190.984,-60.9524,1.57104,-0.205961,-0.207937,-0.205947,1.07271,0.0748062,-0.207937,0.0748112,1.07415
190.984,-52.8254,1.58924,-0.215186,-0.186507,-0.21517,1.07695,0.0679358,-0.186507,0.0679406,1.05747
190.984,-44.6984,1.60571,-0.223624,-0.162654,-0.223607,1.08088,0.059896,-0.162653,0.0599005,1.04212
190.984,-36.5714,1.62009,-0.231065,-0.136552,-0.231046,1.08438,0.0507517,-0.136552,0.0507557,1.02852
190.984,-28.4444,1.63206,-0.237305,-0.108461,-0.237285,1.08733,0.0406157,-0.108461,0.040619,1.01706
190.984,-20.3175,1.64132,-0.242163,-0.0787213,-0.242142,1.08965,0.0296478,-0.0787212,0.0296503,1.00811
190.984,-12.1905,1.64763,-0.24549,-0.0477447,-0.245469,1.09124,0.0180507,-0.0477446,0.0180523,1.00197
190.984,-4.06349,1.65083,-0.247182,-0.0160015,-0.24716,1.09206,0.00606136,-0.0160015,0.00606188,0.998846
190.984,4.06349,1.65083,-0.247182,0.0160015,-0.24716,1.09206,-0.00606136,0.0160015,-0.00606188,0.998846
190.984,12.1905,1.64763,-0.24549,0.0477447,-0.245469,1.09124,-0.0180507,0.0477446,-0.0180523,1.00197
190.984,20.3175,1.64132,-0.242163,0.0787213,-0.242142,1.08965,-0.0296478,0.0787212,-0.0296503,1.00811
190.984,28.4444,1.63206,-0.237305,0.108461,-0.237285,1.08733,-0.0406157,0.108461,-0.040619,1.01706
190.984,36.5714,1.62009,-0.231065,0.136552,-0.231046,1.08438,-0.0507517,0.136552,-0.0507557,1.02852
190.984,44.6984,1.60571,-0.223624,0.162654,-0.223607,1.08088,-0.059896,0.162653,-0.0599005,1.04212
190.984,52.8254,1.58924,-0.215186,0.186507,-0.21517,1.07695,-0.0679358,0.186507,-0.0679406,1.05747
190.984,60.9524,1.57104,-0.205961,0.207937,-0.205947,1.07271,-0.0748062,0.207937,-0.0748112,1.07415
190.984,69.0794,1.55146,-0.196161,0.226849,-0.196148,1.06825,-0.0804868,0.226849,-0.0804919,1.09175
190.984,77.2063,1.53085,-0.185985,0.243222,-0.185974,1.0637,-0.0849968,0.243221,-0.0850017,1.10987
190.984,85.3333,1.50952,-0.175617,0.257095,-0.175607,1.05912,-0.0883872,0.257095,-0.088392,1.12815
190.984,93.4603,1.48778,-0.165218,0.268562,-0.16521,1.05462,-0.0907337,0.268561,-0.0907382,1.14629
190.984,101.587,1.46589,-0.154929,0.277752,-0.154922,1.05023,-0.0921286,0.277752,-0.0921328,1.16401
190.984,109.714,1.44408,-0.144862,0.284824,-0.144856,1.04602,-0.0926744,0.284824,-0.0926783,1.18111
190.984,117.841,1.42253,-0.135108,0.289955,-0.135103,1.04203,-0.0924777,0.289954,-0.0924812,1.1974
190.984,125.968,1.40141,-0.125738,0.293327,-0.125734,1.03826,-0.0916444,0.293326,-0.0916476,1.21277
190.984,134.095,1.38084,-0.1168,0.295127,-0.116796,1.03475,-0.0902763,0.295127,-0.0902792,1.22713
190.984,142.222,1.36093,-0.108328,0.295537,-0.108324,1.03149,-0.0884689,0.295537,-0.0884715,1.24042
190.984,150.349,1.34173,-0.100339,0.294733,-0.100336,1.02848,-0.0863091,0.294733,-0.0863114,1.25262
190.984,158.476,1.32332,-0.0928412,0.292878,-0.092839,1.02573,-0.0838751,0.292878,-0.0838772,1.26373
190.984,166.603,1.30571,-0.0858317,0.290126,-0.0858298,1.02321,-0.0812359,0.290126,-0.0812377,1.27376
190.984,174.73,1.28892,-0.0793006,0.286616,-0.0792991,1.02092,-0.0784511,0.286616,-0.0784527,1.28275
190.984,182.857,1.27297,-0.0732327,0.282473,-0.0732314,1.01883,-0.0755719,0.282473,-0.0755733,1.29073
190.984,190.984,1.25783,-0.0676087,0.277812,-0.0676076,1.01695,-0.0726416,0.277812,-0.0726428,1.29776
190.984,199.111,1.24351,-0.0624066,0.272733,-0.0624057,1.01525,-0.069696,0.272733,-0.0696971,1.30389
190.984,207.238,1.22997,-0.057603,0.267324,-0.0576022,1.01372,-0.0667646,0.267324,-0.0667655,1.30917
190.984,215.365,1.21719,-0.0531734,0.261663,-0.0531727,1.01234,-0.0638711,0.261663,-0.0638719,1.31366
190.984,223.492,1.20515,-0.0490928,0.255818,-0.0490923,1.0111,-0.0610343,0.255818,-0.061035,1.31742
190.984,231.619,1.19379,-0.0453321,0.249848,-0.0453316,1.00998,-0.0582693,0.249848,-0.0582699,1.32048
190.984,239.746,1.18337,-0.0419556,0.244007,-0.0419552,1.009,-0.0556566,0.244007,-0.0556573,1.32321
190.984,247.873,1.17542,-0.0393908,0.241796,-0.0393905,1.00825,-0.0544102,0.241793,-0.0544107,1.32663
190.984,256,1.1756,-0.0392861,0.241267,-0.039286,1.0085,-0.0540388,0.241265,-0.0540389,1.32817
199.111,-256,1.18288,-0.0403682,-0.240661,-0.0403681,1.00863,0.0531863,-0.240659,0.0531864,1.31345
199.111,-247.873,1.18265,-0.0404558,-0.241148,-0.0404554,1.00839,0.053534,-0.241144,0.0535345,1.31184
199.111,-239.746,1.1908,-0.0430376,-0.243092,-0.0430372,1.00913,0.0546761,-0.243092,0.0546767,1.30834
199.111,-231.619,1.20133,-0.0463953,-0.248483,-0.0463948,1.01009,0.0571001,-0.248483,0.0571007,1.30516
199.111,-223.492,1.21277,-0.0501184,-0.253951,-0.0501179,1.01117,0.0596497,-0.253951,0.0596503,1.30164
199.111,-215.365,1.22487,-0.0541419,-0.25925,-0.0541413,1.01238,0.0622475,-0.25925,0.0622482,1.29744
199.111,-207.238,1.23766,-0.0584925,-0.264323,-0.0584917,1.01371,0.0648775,-0.264323,0.0648783,1.29253
199.111,-199.111,1.25117,-0.0631907,-0.269101,-0.0631899,1.01518,0.0675199,-0.269101,0.0675209,1.28686
199.111,-190.984,1.26542,-0.0682568,-0.273509,-0.0682558,1.01681,0.0701504,-0.273508,0.0701515,1.28039
199.111,-182.857,1.28042,-0.0737092,-0.277459,-0.073708,1.01859,0.0727395,-0.277458,0.0727407,1.27308
199.111,-174.73,1.29618,-0.0795644,-0.280854,-0.079563,1.02056,0.0752519,-0.280854,0.0752533,1.26487
199.111,-166.603,1.3127,-0.0858359,-0.283587,-0.0858342,1.02271,0.077646,-0.283587,0.0776476,1.25573
199.111,-158.476,1.32996,-0.0925329,-0.285539,-0.0925309,1.02506,0.0798736,-0.285539,0.0798754,1.24565
199.111,-150.349,1.34794,-0.099659,-0.286581,-0.0996566,1.02761,0.081879,-0.286581,0.081881,1.23459
199.111,-142.222,1.3666,-0.10721,-0.286571,-0.107208,1.03038,0.0835994,-0.286571,0.0836016,1.22256
199.111,-134.095,1.38588,-0.115175,-0.285363,-0.115171,1.03336,0.0849647,-0.285363,0.0849672,1.20958
199.111,-125.968,1.4057,-0.123528,-0.282799,-0.123524,1.03655,0.0858981,-0.282799,0.0859008,1.19568
199.111,-117.841,1.42596,-0.132235,-0.27872,-0.13223,1.03994,0.0863172,-0.27872,0.0863201,1.18093
199.111,-109.714,1.44653,-0.141243,-0.272966,-0.141238,1.04352,0.0861354,-0.272966,0.0861386,1.16542
199.111,-101.587,1.46725,-0.150485,-0.265382,-0.150479,1.04726,0.0852646,-0.265382,0.0852681,1.14928
199.111,-93.4603,1.48795,-0.159873,-0.255824,-0.159866,1.05112,0.0836184,-0.255824,0.0836221,1.13268
199.111,-85.3333,1.5084,-0.169303,-0.244167,-0.169295,1.05507,0.0811159,-0.244167,0.0811197,1.11582
199.111,-77.2063,1.52837,-0.178649,-0.230313,-0.17864,1.05905,0.0776865,-0.230313,0.0776905,1.09895
199.111,-69.0794,1.54757,-0.187769,-0.214201,-0.187758,1.06298,0.073276,-0.2142,0.0732799,1.08235
199.111,-60.9524,1.56573,-0.196502,-0.195815,-0.196491,1.0668,0.0678515,-0.195814,0.0678554,1.06634
199.111,-52.8254,1.58254,-0.204679,-0.175194,-0.204666,1.07042,0.061408,-0.175194,0.0614117,1.05125
199.111,-44.6984,1.59768,-0.212123,-0.152442,-0.212109,1.07375,0.0539727,-0.152441,0.0539761,1.03745
199.111,-36.5714,1.61086,-0.218657,-0.127725,-0.218642,1.07669,0.045609,-0.127725,0.045612,1.02528
199.111,-28.4444,1.62179,-0.224117,-0.101283,-0.224101,1.07918,0.036418,-0.101283,0.0364205,1.01507
199.111,-20.3175,1.63023,-0.228355,-0.0734176,-0.228339,1.08111,0.0265375,-0.0734175,0.0265393,1.00713
199.111,-12.1905,1.63597,-0.231252,-0.0444892,-0.231235,1.08244,0.0161379,-0.0444891,0.0161391,1.00169
199.111,-4.06349,1.63888,-0.232722,-0.0149039,-0.232705,1.08312,0.00541578,-0.0149038,0.00541618,0.998924
199.111,4.06349,1.63888,-0.232722,0.0149039,-0.232705,1.08312,-0.00541578,0.0149038,-0.00541618,0.998924
199.111,12.1905,1.63597,-0.231252,0.0444892,-0.231235,1.08244,-0.0161379,0.0444891,-0.0161391,1.00169
199.111,20.3175,1.63023,-0.228355,0.0734176,-0.228339,1.08111,-0.0265375,0.0734175,-0.0265393,1.00713
199.111,28.4444,1.62179,-0.224117,0.101283,-0.224101,1.07918,-0.036418,0.101283,-0.0364205,1.01507
199.111,36.5714,1.61086,-0.218657,0.127725,-0.218642,1.07669,-0.045609,0.127725,-0.045612,1.02528
